,Day1,无
,对方已上线,中
Miko,嘿...你在吗？,左
Miko,好久不见呀，你最近还好吗？,左
,,
我,太久没跟你聊天了，不太好...,"右,选项,9"
我,还好呀，你呢？,"右,选项,7"
,,
Miko,那就好,"左,10,分支7"
Miko,我也是...,"左,分支9"
Miko,对了，上次歌剧院的事情还没有谢谢你,"左,分支10"
Miko,要不是你，可能我也不会那么顺利,左
Miko,虽然好像是救了那个小姐姐，事件也都平息了，不过我总觉得怪怪的,左
,,
我,看来那些人没有继续搞事情了,"右,选项,14"
我,他们会不会还不死心？,"右,选项,16"
,,
Miko,目前看起来是没有了,"左,17,分支14"
Miko,可能吧，但是不死心也没办法,"左,分支16"
Miko,歌剧院事件暴露之后，他们也不敢这么快再做别的坏事吧,"左,分支17"
Miko,算了，我也没空去管这些事情...,左
Miko,说到底，我根本就不应该管这些事吧,左
Miko,唉,左
,,
我,你心情不好吗？,"右,选项,22"
我,你是不是有什么心事啊,"右,选项,22"
,,
Miko,家里的事...,"左,分支22"
Miko,我妈的老毛病又犯了，昨天她又突然晕倒了,左
Miko,现在在住院，好像情况不是太好,左
Miko,最近我妈的病越来越严重，晕倒的次数越来越频繁了,左
Miko,我现在在病房陪着我妈,左
Miko,昨天，我又跟我爸吵架了,左
,,
我,怎么又吵架了？,"右,选项,29"
我,这个时候别刺激你妈啊,"右,选项,29"
,,
Miko,嗯...我不应该跟我爸吵架的,"左,分支29"
Miko,昨天下午我爸刚下班回来，洗了个澡换了身衣服就要回去研究所继续工作,左
Miko,我妈现在病这么严重，他就只知道工作,左
Miko,我忍不住就跟他吵了起来,左
Miko,我妈听到了，情绪激动起来又晕过去了,左
Miko,我爸昨天跟我一起把我妈送来医院，他守了一夜之后又回去研究所做治疗了,左
Miko,都不知道是治疗重要还是我妈重要,左
,,
我,你们之间是不是有什么误会啊？,"右,选项,37"
我,你爸是不是有什么苦衷？,"右,选项,37"
,,
Miko,他能有什么苦衷，他除了工作还是工作,"左,分支37"
Miko,大早他就回去工作了，今天一天，不要说来看看我妈了，连电话都没有一个！！,左
Miko,他根本就没有考虑过我妈和我的感受，他就是不负责任！,左
Miko,什么治疗那么重要？！！现在有什么东西比我妈的治疗还重要？！,左
Miko,他这样子抛下我妈一个人不管，整天只顾着工作就是不对！！,左
,,
我,Miko你别激动,"右,选项,43"
我,Miko先冷静下来,"右,选项,43"
,,
Miko,你都不知道我现在什么状况，什么心情！！,"左,分支43"
,对方已下线,中
,预计5分钟,"中,0,等待,5"
,对方已上线,中
Miko,对不起...,左
Miko,刚刚是我太激动了，才会向你乱发脾气,左
Miko,真的很抱歉我只是...,左
Miko,我只是突然觉得很不知所措，我妈生病，我爸也不在,左
Miko,好像整个世界突然只剩下我自己一个人，我真的不知道该怎么办,左
Miko,我觉得自己好没用，什么事情都做不了...,左
,,
我,你才不是什么事情都做不了！,"右,选项,54"
我,你要好好陪着妈妈治病,"右,选项,58"
,,
Miko,是吗...,"左,分支54"
Miko,可是像我这样的，我还能做什么,左
Miko,我能做的事只有陪在我妈身边而已,"左,分支56"
,,
我,尽你所能去做就好了,"右,选项,60"
我,你妈妈需要你的陪伴啊,"右,选项,60"
,,
Miko,是的,"左,分支58"
Miko,嗯，你说得对，我会尽自己努力去照顾我妈的,"左,分支60"
Miko,我也知道要振作...这种时候只有我坚强起来了才能撑住，才能照顾好我妈,左
Miko,可是，我只是觉得事情一件件地压在我身上，就快透不过气了,左
Miko,不知道能坚持多久，好害怕下一秒就会崩溃,左
Miko,我是真的觉得自己很没用,左
,,
我,谁都有脆弱的时候,"右,选项,66"
我,难过的时候想想开心的事,"右,选项,66"
,,
Miko,嗯，我知道了...谢谢你听我说这么多,"左,分支66"
Miko,虽然最近都是一些让人难过的事，但是我会努力坚持下去的,左
Miko,我妈的病一定会好的，我一定要让我的家变回从前那样,左
Miko,其实这些话一直藏在心里，一直不敢跟别人说，现在说出来感觉好多了,左
Miko,你要一直陪着我,左
,,
我,嗯，当然没问题！,"右,选项,72"
我,Miko在哪我就在哪！,"右,选项,72"
,,
Miko,谢谢你，还好有你在,"左,分支72"
Miko,我会努力的！,左
Miko,啊对了，我还没吃饭,左
Miko,那我们等会再聊,左
,对方已下线,中
,预计12分钟,"中,0,等待,12"
,对方已上线,中
S6-01,便利店小哥哥送了我一个棒棒糖，他说吃了糖心情就会变好了...真的会吗？,动态
S6-01-n,,图鉴
Miko,我在便利店吃完饭回来了,左
Miko,好吧...其实我是去吃了个泡面,左
Miko,我吃了花旗参炖乌鸡口味的！我觉得超好吃的！,左
,,
我,这个口味好像停产了哎...,"右,选项,84"
我,你竟然喜欢吃这个口味！,"右,选项,87"
,,
Miko,啊？真的吗？,"左,分支84"
Miko,停产了？我这里还有啊你那边怎么...,"左,89"
Miko,这个口味怎么啦！,"左,分支87"
Miko,花旗参的味道很浓很香啊，明明很好吃,左
Miko,不过泡面吃起来真的很方便又好吃啊，怪不得明明是垃圾食品还那么多人都喜欢吃,"左,分支89"
Miko,发明泡面的人真的很厉害呢,左
,,
我,你的棒棒糖呢？,"右,选项,92"
我,泡面可是人类文化的瑰宝！,"右,选项,98"
,,
Miko,便利店小哥哥送我的那个棒棒糖还没吃呢,"左,分支92"
Miko,我才刚吃完泡面，这么大一个棒棒糖,左
Miko,我吃不下了,左
Miko,等到不开心的时候吃，希望心情会变好吧...,左
Miko,哎，你等等，医生进来了,"左,108"
,,
Miko,是啊...泡面太适合我了,"左,分支98"
Miko,吃完之后把盒子一扔，连碗都不用洗,左
Miko,不过这个世界好吃的这么多，不能总是吃泡面啦,左
Miko,等到我妈病好了，我要跟她一起去吃她喜欢的戚风蛋糕,左
Miko,病好了之后能吃到自己喜欢的东西，一定很开心吧,左
,,
我,病好了吃什么都会开心,"右,选项,106"
我,还要吃红丝绒蛋糕！,"右,选项,104"
,,
Miko,你上次跟我说过让我试一下的，我都没时间去吃呢,"左,107,分支104"
,,
Miko,说到吃的心情好像恢复了一点，食物的力量真大,"左,92,分支106"
,,
Miko,等到我妈病好了我要跟她一起去吃，想想肯定很好吃！,"左,108,分支107"
,对方已下线,"中,分支108"
,预计6分钟,"中,0,等待,6"
,对方已上线,中
Miko,刚刚医生进来复诊了，还拿着几张我妈的CT图,左
Miko,情况好像不太好，医生说是中枢神经受损,左
99,中枢神经,词典
Miko,说是因为电磁辐射引起的...,左
,,
我,你妈怎么会被电磁辐射到？,"右,选项,115"
我,中枢神经受损听起来好像很严重啊,"右,选项,115"
,,
Miko,我也不知道啊，我妈好像是突然得了这种病,"左,分支115"
Miko,我听医生跟我妈说的话都很懵啊，那些专业名词我都听不懂...,左
Miko,不过医生说会导致睡眠障碍，慢慢地会全身无力，记忆力减退,左
Miko,而且还会出现视觉运动反应时值明显延长,左
Miko,这种病应该是接触到高强度的电磁辐射才会引起的，那个医生好像也很奇怪我妈为什么会得这种病,左
Miko,我妈倒是没有什么反应的样子,左
,,
我,这种病是不是很少见的啊？,"右,选项,122"
我,医生有说要怎么治疗吗？,"右,选项,122"
,,
Miko,我也不知道啊,"左,分支122"
Miko,不过听医生说接触电磁辐射就有可能患这种病的，也是有相应的治疗方法的,左
Miko,医生说，最新的疗法是要通过什么靶向介入技术对神经细胞进行修复,左
Miko,说是有什么靶向介质药物，改善神经传导功能障碍，改善细胞生存什么的,左
Miko,不过医生说他们临床并没有这种药物，现在的治疗还是保守治疗,左
Miko,医生走了之后，我就去问我妈，可是我妈好像不太想跟我说话,左
Miko,她就一直跟我说没事的没事的,左
,,
